Nombre de muestra,BioSample,Host,Accession
Metagenome or environmental sample from honey metagenome,SAMN42493360,,SAMN42493360
Metagenome or environmental sample from honey metagenome,SAMN42493361,,SAMN42493361
Metagenome or environmental sample from honey metagenome,SAMN42493362,,SAMN42493362
Metagenome or environmental sample from honey metagenome,SAMN42493363,,SAMN42493363
Metagenome or environmental sample from honey metagenome,SAMN42493364,,SAMN42493364
Metagenome or environmental sample from honey metagenome,SAMN42493365,,SAMN42493365
Metagenome or environmental sample from honey metagenome,SAMN42493366,,SAMN42493366
Metagenome or environmental sample from honey metagenome,SAMN42493367,,SAMN42493367
Metagenome or environmental sample from honey metagenome,SAMN42493368,,SAMN42493368
Metagenome or environmental sample from honey metagenome,SAMN42493369,,SAMN42493369
Metagenome or environmental sample from honey metagenome,SAMN42493370,,SAMN42493370
Metagenome or environmental sample from honey metagenome,SAMN42493371,,SAMN42493371
Metagenome or environmental sample from honey metagenome,SAMN42493372,,SAMN42493372
Metagenome or environmental sample from honey metagenome,SAMN42493373,,SAMN42493373
Metagenome or environmental sample from honey metagenome,SAMN42493374,,SAMN42493374
Metagenome or environmental sample from honey metagenome,SAMN42493375,,SAMN42493375
Metagenome or environmental sample from honey metagenome,SAMN42493376,,SAMN42493376
Metagenome or environmental sample from honey metagenome,SAMN42493377,,SAMN42493377
Metagenome or environmental sample from honey metagenome,SAMN42493378,,SAMN42493378
Metagenome or environmental sample from honey metagenome,SAMN42493379,,SAMN42493379
Metagenome or environmental sample from honey metagenome,SAMN42493380,,SAMN42493380
Metagenome or environmental sample from honey metagenome,SAMN42493381,,SAMN42493381
Metagenome or environmental sample from honey metagenome,SAMN42493382,,SAMN42493382
Metagenome or environmental sample from honey metagenome,SAMN42493383,,SAMN42493383
Metagenome or environmental sample from honey metagenome,SAMN42493384,,SAMN42493384
Metagenome or environmental sample from honey metagenome,SAMN42493385,,SAMN42493385
Metagenome or environmental sample from honey metagenome,SAMN42493386,,SAMN42493386
Metagenome or environmental sample from honey metagenome,SAMN42493387,,SAMN42493387
Metagenome or environmental sample from honey metagenome,SAMN42493388,,SAMN42493388
Metagenome or environmental sample from honey metagenome,SAMN42493389,,SAMN42493389
Metagenome or environmental sample from honey metagenome,SAMN42493390,,SAMN42493390
Metagenome or environmental sample from honey metagenome,SAMN42493391,,SAMN42493391
Metagenome or environmental sample from honey metagenome,SAMN42493392,,SAMN42493392
Metagenome or environmental sample from honey metagenome,SAMN42493393,,SAMN42493393
Metagenome or environmental sample from honey metagenome,SAMN42493394,,SAMN42493394
Metagenome or environmental sample from honey metagenome,SAMN47760422,Avicennia marina,SAMN47760422
Metagenome or environmental sample from honey metagenome,SAMN47760423,Aegiceras corniculatum (L.) Blanco,SAMN47760423
Metagenome or environmental sample from honey metagenome,SAMN47760424,Aegialitis rotundifolia,SAMN47760424
